"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","0-162.5","162.5-325","325-487.5","487.5-650"
"303","0-43.75","37.5-50","50-75",2,2,0.577777777777778,0.422222222222222,0,0
"304","0-43.75","37.5-50","50-75",2,3,0.695652173913043,0.304347826086957,0,0
"305","0-43.75","37.5-50","50-75",2,4,0.586538461538462,0.413461538461538,0,0
"306","0-43.75","37.5-50","50-75",2,5,0.511904761904762,0.488095238095238,0,0
"307","0-43.75","37.5-50","50-75",2,6,0.462365591397849,0.537634408602151,0,0
"308","0-43.75","37.5-50","50-75",2,7,0.316326530612245,0.683673469387755,0,0
"309","0-43.75","37.5-50","50-75",3,1,0,0.97752808988764,0.0224719101123595,0
"310","0-43.75","37.5-50","50-75",3,2,0,0.976190476190476,0.0238095238095238,0
"311","0-43.75","37.5-50","50-75",3,3,0,0.98780487804878,0.0121951219512195,0
"312","0-43.75","37.5-50","50-75",3,4,0,0.989473684210526,0.0105263157894737,0
"313","0-43.75","37.5-50","50-75",3,5,0,0.970873786407767,0.029126213592233,0
"314","0-43.75","37.5-50","50-75",3,6,0,0.957446808510638,0.0425531914893617,0
"315","0-43.75","37.5-50","50-75",3,7,0,0.934065934065934,0.0659340659340659,0
"316","0-43.75","37.5-50","75-100",1,1,0.418367346938776,0.581632653061224,0,0
"317","0-43.75","37.5-50","75-100",1,2,0.58695652173913,0.41304347826087,0,0
"318","0-43.75","37.5-50","75-100",1,3,0.72,0.28,0,0
"319","0-43.75","37.5-50","75-100",1,4,0.461538461538462,0.538461538461538,0,0
"320","0-43.75","37.5-50","75-100",1,5,0.5375,0.4625,0,0
"321","0-43.75","37.5-50","75-100",1,6,0.4375,0.5625,0,0
"322","0-43.75","37.5-50","75-100",1,7,0.244186046511628,0.755813953488372,0,0
"323","0-43.75","37.5-50","75-100",2,1,0.0116279069767442,0.988372093023256,0,0
"324","0-43.75","37.5-50","75-100",2,2,0.06,0.94,0,0
"325","0-43.75","37.5-50","75-100",2,3,0.0344827586206897,0.96551724137931,0,0
"326","0-43.75","37.5-50","75-100",2,4,0,1,0,0
"327","0-43.75","37.5-50","75-100",2,5,0,1,0,0
"328","0-43.75","37.5-50","75-100",2,6,0.0217391304347826,0.978260869565217,0,0
"329","0-43.75","37.5-50","75-100",2,7,0.0112359550561798,0.98876404494382,0,0
"330","0-43.75","37.5-50","75-100",3,1,0,0.414893617021277,0.585106382978723,0
"331","0-43.75","37.5-50","75-100",3,2,0,0.541666666666667,0.458333333333333,0
"332","0-43.75","37.5-50","75-100",3,3,0,0.74390243902439,0.25609756097561,0
"333","0-43.75","37.5-50","75-100",3,4,0,0.526881720430108,0.473118279569892,0
"334","0-43.75","37.5-50","75-100",3,5,0,0.548387096774194,0.451612903225806,0
"335","0-43.75","37.5-50","75-100",3,6,0,0.555555555555556,0.444444444444444,0
"336","0-43.75","37.5-50","75-100",3,7,0,0.264150943396226,0.735849056603774,0
"337","43.75-87.5","0-12.5","0-25",1,1,1,0,0,0
"338","43.75-87.5","0-12.5","0-25",1,2,1,0,0,0
"339","43.75-87.5","0-12.5","0-25",1,3,1,0,0,0
"340","43.75-87.5","0-12.5","0-25",1,4,1,0,0,0
"341","43.75-87.5","0-12.5","0-25",1,5,1,0,0,0
"342","43.75-87.5","0-12.5","0-25",1,6,1,0,0,0
"343","43.75-87.5","0-12.5","0-25",1,7,1,0,0,0
"344","43.75-87.5","0-12.5","0-25",2,1,1,0,0,0
"345","43.75-87.5","0-12.5","0-25",2,2,1,0,0,0
"346","43.75-87.5","0-12.5","0-25",2,3,1,0,0,0
"347","43.75-87.5","0-12.5","0-25",2,4,1,0,0,0
"348","43.75-87.5","0-12.5","0-25",2,5,1,0,0,0
"349","43.75-87.5","0-12.5","0-25",2,6,1,0,0,0
"350","43.75-87.5","0-12.5","0-25",2,7,1,0,0,0
"351","43.75-87.5","0-12.5","0-25",3,1,0.675213675213675,0.324786324786325,0,0
"352","43.75-87.5","0-12.5","0-25",3,2,0.748898678414097,0.251101321585903,0,0
"353","43.75-87.5","0-12.5","0-25",3,3,0.707317073170732,0.292682926829268,0,0
"354","43.75-87.5","0-12.5","0-25",3,4,0.795180722891566,0.204819277108434,0,0
"355","43.75-87.5","0-12.5","0-25",3,5,0.808035714285714,0.191964285714286,0,0
"356","43.75-87.5","0-12.5","0-25",3,6,0.782978723404255,0.217021276595745,0,0
"357","43.75-87.5","0-12.5","0-25",3,7,0.755760368663594,0.244239631336406,0,0
"358","43.75-87.5","0-12.5","25-50",1,1,1,0,0,0
"359","43.75-87.5","0-12.5","25-50",1,2,1,0,0,0
"360","43.75-87.5","0-12.5","25-50",1,3,1,0,0,0
"361","43.75-87.5","0-12.5","25-50",1,4,1,0,0,0
