"","n0_a_bin","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"360","50-75","0-43.75",2,5,2,0.659883720930233,0.340116279069767,0,0
"361","50-75","0-43.75",2,6,1,0.875675675675676,0.124324324324324,0,0
"362","50-75","0-43.75",2,6,2,0.672774869109948,0.327225130890052,0,0
"363","50-75","0-43.75",2,7,1,0.636118598382749,0.363881401617251,0,0
"364","50-75","0-43.75",2,7,2,0.625,0.375,0,0
"365","50-75","0-43.75",3,1,1,0.184986595174263,0.815013404825737,0,0
"366","50-75","0-43.75",3,1,2,0.193548387096774,0.806451612903226,0,0
"367","50-75","0-43.75",3,2,1,0.185792349726776,0.814207650273224,0,0
"368","50-75","0-43.75",3,2,2,0.211111111111111,0.788888888888889,0,0
"369","50-75","0-43.75",3,3,1,0.213855421686747,0.786144578313253,0,0
"370","50-75","0-43.75",3,3,2,0.170483460559796,0.829516539440204,0,0
"371","50-75","0-43.75",3,4,1,0.22554347826087,0.77445652173913,0,0
"372","50-75","0-43.75",3,4,2,0.208762886597938,0.791237113402062,0,0
"373","50-75","0-43.75",3,5,1,0.368421052631579,0.631578947368421,0,0
"374","50-75","0-43.75",3,5,2,0.183908045977011,0.816091954022989,0,0
"375","50-75","0-43.75",3,6,1,0.412429378531073,0.587570621468927,0,0
"376","50-75","0-43.75",3,6,2,0.193384223918575,0.806615776081425,0,0
"377","50-75","0-43.75",3,7,1,0.215384615384615,0.784615384615385,0,0
"378","50-75","0-43.75",3,7,2,0.21680216802168,0.78319783197832,0,0
"379","50-75","43.75-87.5",1,1,1,0.797482837528604,0.202517162471396,0,0
"380","50-75","43.75-87.5",1,1,2,0.786529680365297,0.213470319634703,0,0
"381","50-75","43.75-87.5",1,2,1,0.812431842966194,0.187568157033806,0,0
"382","50-75","43.75-87.5",1,2,2,0.77765237020316,0.22234762979684,0,0
"383","50-75","43.75-87.5",1,3,1,0.772675086107922,0.227324913892078,0,0
